name,Location,Room_Type,Bed,Price,tax,Reviews,link
5 Mile Beach Resort,Kumta,Double Room with Balcony and Sea View,"2 beds (1 twin, 1 queen)","₹ 2,800",+₹ 336 taxes and fees,Scored 8.3,https://www.booking.comhttps://www.booking.com/hotel/in/5-mile-beach-resort-kumta.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=767&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=322037403_385601927_3_1_0&highlighted_blocks=322037403_385601927_3_1_0&matching_block_id=322037403_385601927_3_1_0&sr_pri_blocks=322037403_385601927_3_1_0__280000&from=searchresults#hotelTmpl
Royal Palace Homestay,Kemmannugundi,Queen Room,1 full bed,"₹ 2,600",+₹ 312 taxes and fees,Scored 4.9,https://www.booking.comhttps://www.booking.com/hotel/in/royal-palace-homestay-kesavinamane.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=768&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=1143460502_387205093_0_0_0&highlighted_blocks=1143460502_387205093_0_0_0&matching_block_id=1143460502_387205093_0_0_0&sr_pri_blocks=1143460502_387205093_0_0_0__260000&from=searchresults#hotelTmpl
Stephels Hostel,"M.I. Road, Jaipur",Single Bed in 6-Bed Dormitory Room,Bed in dorm1 bunk bed,₹ 200,+₹ 36 taxes and fees,Scored 7.3,https://www.booking.comhttps://www.booking.com/hotel/in/stephels-hostel.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=769&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=819063705_382150894_0_2_0&highlighted_blocks=819063705_382150894_0_2_0&matching_block_id=819063705_382150894_0_2_0&sr_pri_blocks=819063705_382150894_0_2_0__20000&from=searchresults#hotelTmpl
Townhouse Hotel Rivasa Regency,Dera Māndi,Classic Triple Room,1 queen bed,"₹ 1,259",+₹ 172 taxes and fees,Scored 6.0,https://www.booking.comhttps://www.booking.com/hotel/in/collection-o-30076-main-chhatarpur-road-asola-delhi1.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=770&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=499382702_333424871_1_0_0&highlighted_blocks=499382702_333424871_1_0_0&matching_block_id=499382702_333424871_1_0_0&sr_pri_blocks=499382702_333424871_1_0_0__125893&from=searchresults#hotelTmpl
Hotel Aishwariyam,Tirukkadaiyūr,Superior Family Room,"3 beds (1 twin, 2 fulls)","₹ 1,850",+₹ 222 taxes and fees,Scored 6.9,https://www.booking.comhttps://www.booking.com/hotel/in/kanishk-thirukadaiyur.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=771&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=664610002_357900571_3_42_0&highlighted_blocks=664610002_357900571_3_42_0&matching_block_id=664610002_357900571_3_42_0&sr_pri_blocks=664610002_357900571_3_42_0__185000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
OYO Hotel Golden Crown,Sirhind,Classic Triple Room,1 queen bed,₹ 506,+₹ 82 taxes and fees,Scored 5.1,https://www.booking.comhttps://www.booking.com/hotel/in/spot-on-91941-golden-crown.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=772&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394917&all_sr_blocks=885162202_375723959_1_0_0&highlighted_blocks=885162202_375723959_1_0_0&matching_block_id=885162202_375723959_1_0_0&sr_pri_blocks=885162202_375723959_1_0_0__50625&from=searchresults#hotelTmpl
Fragrant Nature Kochi - A Five star Classified Hotel,"Fort Kochi, Cochin",Duke's Chamber Double Room with 10% discount on Spa,1 king bed,"₹ 7,600","+₹ 1,368 taxes and fees",Scored 8.8,https://www.booking.comhttps://www.booking.com/hotel/in/fragrant-nature-fort-kochi.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=773&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=147055101_200921125_2_41_0&highlighted_blocks=147055101_200921125_2_41_0&matching_block_id=147055101_200921125_2_41_0&sr_pri_blocks=147055101_200921125_2_41_0__760000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
FabHotel Prime Royal Castle Gandhipuram,"Gandhipuram, Coimbatore",Superior Double Room,1 queen bed,"₹ 2,268",+₹ 272 taxes and fees,Scored 7.9,https://www.booking.comhttps://www.booking.com/hotel/in/royal-castle-inn-coimbatore.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=774&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=72172607_374064103_1_1_0&highlighted_blocks=72172607_374064103_1_1_0&matching_block_id=72172607_374064103_1_1_0&sr_pri_blocks=72172607_374064103_1_1_0__226808&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Neeleshwar Hermitage,Nīleshwar,Cottage with Garden View,1 queen bed,"₹ 8,800","+₹ 1,584 taxes and fees",Scored 9.0,https://www.booking.comhttps://www.booking.com/hotel/in/neeleshwar-hermitage.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=775&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=110428104_272044913_0_1_0&highlighted_blocks=110428104_272044913_0_1_0&matching_block_id=110428104_272044913_0_1_0&sr_pri_blocks=110428104_272044913_0_1_0__880000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Shiv Executive Suite,Theni,Deluxe Double Room,1 king bed,"₹ 2,250",+₹ 270 taxes and fees,Scored 8.2,https://www.booking.comhttps://www.booking.com/hotel/in/le-shiv-executive-suite-theni-allinagaram.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=776&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=970259702_375801404_1_1_0&highlighted_blocks=970259702_375801404_1_1_0&matching_block_id=970259702_375801404_1_1_0&sr_pri_blocks=970259702_375801404_1_1_0__225000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Radisson RED Chandigarh Mohali,Chandīgarh,Standard Double or Twin room with 10% discount on Food and Soft Beverage,Beds: 1 double or 2 twins,"₹ 7,450",+₹ 894 taxes and fees,Scored 8.6,https://www.booking.comhttps://www.booking.com/hotel/in/radisson-red-chandigarh-mohali.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=777&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=788547203_365206613_2_2_0&highlighted_blocks=788547203_365206613_2_2_0&matching_block_id=788547203_365206613_2_2_0&sr_pri_blocks=788547203_365206613_2_2_0__745000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Atithi Regency,Dhuburi,Deluxe,1 full bed,"₹ 2,499",+₹ 300 taxes and fees,Scored 7.6,https://www.booking.comhttps://www.booking.com/hotel/in/atithi-regency.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=778&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=1138234305_386544225_2_0_0&highlighted_blocks=1138234305_386544225_2_0_0&matching_block_id=1138234305_386544225_2_0_0&sr_pri_blocks=1138234305_386544225_2_0_0__249900&from=searchresults#hotelTmpl
The Peral Lodge - A beautiful lavish & luxuries Family Hotel,Zirakpur,Double Room,1 full bed,"₹ 1,439",+₹ 173 taxes and fees,Scored 7.5,https://www.booking.comhttps://www.booking.com/hotel/in/venus-inn-zirakpur.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=779&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=1081103001_380689547_1_0_0&highlighted_blocks=1081103001_380689547_1_0_0&matching_block_id=1081103001_380689547_1_0_0&sr_pri_blocks=1081103001_380689547_1_0_0__143920&from=searchresults#hotelTmpl
The Lalit Traveller Khajuraho,"Sevagram, Khajurāho",Deluxe Double or Twin Room,Beds: 1 double or 2 twins,"₹ 4,455",+₹ 535 taxes and fees,Scored 8.6,https://www.booking.comhttps://www.booking.com/hotel/in/the-lalit-traveller-khajuraho.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=780&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=89228802_247436943_0_41_0&highlighted_blocks=89228802_247436943_0_41_0&matching_block_id=89228802_247436943_0_41_0&sr_pri_blocks=89228802_247436943_0_41_0__445500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Olives The Boutique Resort,Kalpetta,Premium Double Room,1 king bed,"₹ 7,899","+₹ 1,422 taxes and fees",Scored 8.9,https://www.booking.comhttps://www.booking.com/hotel/in/olive.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=781&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=45102701_390824267_2_1_0&highlighted_blocks=45102701_390824267_2_1_0&matching_block_id=45102701_390824267_2_1_0&sr_pri_blocks=45102701_390824267_2_1_0__789900&from=searchresults#hotelTmpl
Horn Ok Please Hostel Jaipur,"M.I. Road, Jaipur",Single Bed in 10-Bed Dormitory Room,Bed in dorm1 bunk bed,₹ 409,+₹ 49 taxes and fees,Scored 8.9,https://www.booking.comhttps://www.booking.com/hotel/in/hop-hostel-jaipur.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=782&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=583236601_242606376_0_1_0&highlighted_blocks=583236601_242606376_0_1_0&matching_block_id=583236601_242606376_0_1_0&sr_pri_blocks=583236601_242606376_0_1_0__40900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Clarks Inn , Airport Bangalore",Yelahanka,Superior Double or Twin Room,1 king bed,"₹ 3,500",+₹ 420 taxes and fees,Scored 7.9,https://www.booking.comhttps://www.booking.com/hotel/in/clarks-inn-bangalore.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=783&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=813493903_365960541_3_34_0&highlighted_blocks=813493903_365960541_3_34_0&matching_block_id=813493903_365960541_3_34_0&sr_pri_blocks=813493903_365960541_3_34_0__350000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mastiff Select Shreeyog Resort,Dandeli,Standard Double Room,1 queen bed,"₹ 4,363",+₹ 524 taxes and fees,Scored 7.9,https://www.booking.comhttps://www.booking.com/hotel/in/shreeyog-inn-dandeli1.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=784&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=763203203_392836599_2_2_0&highlighted_blocks=763203203_392836599_2_2_0&matching_block_id=763203203_392836599_2_2_0&sr_pri_blocks=763203203_392836599_2_2_0__436320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Radisson Hotel Agra,Agra,"Standard Room (Includes 20% off on food and soft beverages, 50% off on full body massage btw 11am to 6pm)",Beds: 1 double or 2 twins,"₹ 3,729",+₹ 447 taxes and fees,Scored 7.8,https://www.booking.comhttps://www.booking.com/hotel/in/radisson-hotel-agra.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=785&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=129711230_363459470_2_42_0&highlighted_blocks=129711230_363459470_2_42_0&matching_block_id=129711230_363459470_2_42_0&sr_pri_blocks=129711230_363459470_2_42_0__372900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Golfview,Panchkula,Standard Double Room,1 queen bed,"₹ 1,191",+₹ 160 taxes and fees,Scored 6.5,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-1234-neelkamal.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=786&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=808637202_342440856_1_2_0&highlighted_blocks=808637202_342440856_1_2_0&matching_block_id=808637202_342440856_1_2_0&sr_pri_blocks=808637202_342440856_1_2_0__119107&from=searchresults#hotelTmpl
The Kasauli Walk !! Top Rated & Most Awarded Property in Kasauli,Kasauli,Deluxe Room,1 king bed,"₹ 3,800",+₹ 456 taxes and fees,Scored 8.7,https://www.booking.comhttps://www.booking.com/hotel/in/tree-retreat-inn.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=787&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=1078421403_380442027_2_0_0&highlighted_blocks=1078421403_380442027_2_0_0&matching_block_id=1078421403_380442027_2_0_0&sr_pri_blocks=1078421403_380442027_2_0_0__380000&from=searchresults#hotelTmpl
Townhouse Reva College University,Yelahanka,Deluxe Triple Room,2 king beds,"₹ 1,206",+₹ 162 taxes and fees,Scored 7.6,https://www.booking.comhttps://www.booking.com/hotel/in/capital-o-81445-townhouse-108-reva-college-university.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=788&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=1022167802_378819058_1_0_0&highlighted_blocks=1022167802_378819058_1_0_0&matching_block_id=1022167802_378819058_1_0_0&sr_pri_blocks=1022167802_378819058_1_0_0__120625&from=searchresults#hotelTmpl
Jagat Niwas Palace,"Lal Ghat, Udaipur",Standard Room Non Lake Facing,1 full bed,"₹ 6,000",+₹ 720 taxes and fees,Scored 8.7,https://www.booking.comhttps://www.booking.com/hotel/in/jagat-niwas-palace.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=789&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=43316004_389083372_2_1_0&highlighted_blocks=43316004_389083372_2_1_0&matching_block_id=43316004_389083372_2_1_0&sr_pri_blocks=43316004_389083372_2_1_0__600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Kolaahalam Mainland Resorts & Spa,Yercaud,Deluxe Double Room,1 king bed,"₹ 5,100",+₹ 612 taxes and fees,Scored 7.3,https://www.booking.comhttps://www.booking.com/hotel/in/mainland-resorts-amp-spa.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=790&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394921&all_sr_blocks=538997001_196403340_2_1_0&highlighted_blocks=538997001_196403340_2_1_0&matching_block_id=538997001_196403340_2_1_0&sr_pri_blocks=538997001_196403340_2_1_0__510000&from=searchresults#hotelTmpl
